Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon,The Ratio Energy to Tasks
199,4802.765073646693,236193.4000473326,45.71076202392578,43.78996658325195,19938,34,4964.514460017514,0.096273623406887,146.0151311769857
200,4809.714293510513,235113.8707806815,48.75165557861328,54.43262100219727,20038,39,5358.878597843759,0.0962361246347427,137.40714353445537
201,4815.416906743962,234068.8686201693,46.86629867553711,42.176048278808594,20138,42,5437.875484572141,0.0961986258625984,129.47322582314624
202,4805.416823147905,233057.83405150025,43.17657852172852,51.766632080078125,20238,39,5300.620743903099,0.0961611270904541,135.91335240777175
203,4834.54298132686,232080.41032655016,44.04059600830078,53.20220184326172,20338,51,5186.66168486033,0.0961236283183097,101.69924872275156
204,4793.024009073037,231135.9030477414,43.69524765014648,53.76946640014648,20438,32,5258.986410336227,0.0960861295461654,164.3433253230071
205,4828.626946211567,230224.0056791454,45.6375846862793,41.50239562988281,20538,46,5184.089731876127,0.0960486233234405,112.69760286687232
206,4831.504253447842,229344.2595134028,42.65118789672852,49.935943603515625,20638,48,4748.563925408955,0.0960111245512962,98.92841511268657
207,4816.0390189327445,228496.12647915244,41.52211380004883,42.38175964355469,20738,46,5458.165137908247,0.0959736257791519,118.65576386757058
208,4804.337471574232,227679.09681112267,40.53780364990234,46.57721710205078,20838,39,5652.3123258582345,0.0959361270070076,144.93108527841628
209,4801.919694999662,226892.7146622884,43.586856842041016,43.35222244262695,20938,38,5228.951051837023,0.0958986282348632,137.6039750483427
210,4819.829625454193,226136.6291671181,39.76243209838867,54.83530426025391,21038,48,5653.998991267712,0.0958611294627189,117.79164565141066
211,4797.216735298716,225410.3049348048,42.36310195922852,54.8928337097168,21138,37,6041.951455570728,0.095823623239994,163.29598528569537
212,4840.980156513266,224713.52825470324,46.058204650878906,43.71866607666016,21238,54,4968.450443289257,0.0957861244678497,92.00834154239364
213,4808.478028540179,224045.7330296893,43.23711395263672,48.53541946411133,21338,38,5164.60710220068,0.0957486256957054,135.91071321580736
214,4810.645062464115,223406.524946594,44.362403869628906,42.29254531860352,21438,43,5434.712134596339,0.0957111269235611,126.38865429293811
215,4803.4658210645575,222795.4737245508,43.57732391357422,47.78250503540039,21538,36,4994.579076726237,0.0956736281514167,138.7383076868399
216,4826.317197740878,222212.29540408275,41.74869537353516,39.3809700012207,21638,46,5036.876250848756,0.0956361293792724,109.49730980105991
217,4831.918558461592,221656.63210746524,42.41539001464844,39.927982330322266,21738,49,5002.004511142062,0.0955986231565475,102.08172471718494
218,4807.22846534026,221127.994176412,48.46020126342773,42.16484451293945,21838,34,4773.891538024458,0.0955611243844032,140.40857464777818
219,4801.886782685819,220625.988802835,43.089962005615234,47.63539123535156,21938,40,5749.505566548323,0.0955236256122589,143.73763916370808
220,4829.412024477177,220150.37900741023,42.96586608886719,43.22444152832031,22038,48,5365.438701138337,0.0954861268401146,111.77997294038202
